Character,"Data Type",Name,Description,Published
A.I.M,comics,"Secret Avengers (2013) #14","The traitor at the heart of the group is revealed. Mockingbird faces a crossroads that threatens to tear her apart. Travel to the past. See the future.",(2013)
A.I.M,comics,"Iron Man (2012) #1","Tony Stark&mdash;Iron Man: Technological visionary, wealthy playboy, unparalleled engineer, and armored Avenger. His greatest invention becomes his greatest mistake. Iron Man must act fast&hellip;and Tony Stark must build faster! The lethal techno virus Extremis is out in the wild and out for grabs to the highest bidder! It&rsquo;s up to Tony Stark to contain it and that means creating a new suit of armor&hellip;NOW!",(2012)
A.I.M,comics,"Marvel Adventures Super Heroes (2010) #16","Featuring Captain America! Spider-Man gets the thrill of a lifetime as he meets the living legend of World War II, Captain America! Webs spin and shields fly as Cap and everybody's favorite wall-crawler come face to face with the Gray Gargoyle and the nefarious schemes of AIM! Note: This issue reprints the contents of MARVEL AGE SPIDER-MAN TEAM-UP #2.",(2010)
A.I.M,comics,"Taskmaster (Trade Paperback)","Taskmaster has trained henchmen for every terrorist organization and criminal cartel in the Marvel Universe. So when the rumor starts that he's turned traitor and now works for Steve Rogers, a billion-dollar bounty is put on his head. Now, every cadre of costumed fanatics - A.I.M., Hydra, Ultimatum, the Sons of the Serpent and more - is looking to collect. Taskmaster must fight hordes upon hordes of his psychopathic students while at the same time uncovering who framed him - which requires him figuring out who he really is! That's right, the man with the photographic reflexes has no memory of his true identity - and you'll learn the unexpected truth along with him! The action-packed secret origin comes courtesy of New York Times bestselling writer Fred Van Lente (AMAZING SPIDER-MAN) and acclaimed artist Jefte Paolo (DOCTOR VOODOO)! Collecting TASKMASTER #1-4 and material from AGE OF HEROES #3.",
A.I.M,comics,"Ant-Man & the Wasp (2010) #3","The first team up of Marvel's most unlikely duo may be their last! While his body lay dying, it's up to Ant-Man to save Bill Foster from a burning heaven! And The Wasp is on his own against Monica Rappacini, her elite AIM troops, and the half-sleepwalker villainess ANESTHESIA!  See how the smallest Avengers get out of their over-sized jam in the conclusion to this miniseries by writer/artist Tim Seeley (Hack/Slash)!",(2010)
A.I.M,comics,"Incredible Hulks (2009) #606 (VARIANT)","He's fought Thor, Black Bolt, the Juggernaut, and virtually every Avenger on the planet.  But nothing's ever hit Bruce Banner as hard as ""The Fall of the Hulks""!  As the epic storyline begins, Bruce Banner makes the best and worst discovery of his life, Skaar, the savage Son of Hulk, finally shows his true colors, and a Green Goliath in purple pants takes on Doctor Doom himself!  ""Planet Hulk"" writer Greg Pak teams up with fan favorite penciler Paul Pelletier to deliver massive revelations, shocking emotional twists, and epic smashing that will transform Bruce Banner's life forever. Rated A $3.99",(2009)
A.I.M,comics,"Marvel Masterworks: Doctor Strange Vol. (Hardcover)","Time to toss out that rabbit's foot at last, True Believer! After thirteen years around the cauldron your luck has paid off-we're conjuring up a sensational second Doctor Strange Masterworks! <br>Featuring the mind-blowing ocular occult of Steve Ditko teamed with Stan ""The Man"" Lee, you'll want to make sure you nail down your ouija board before breaking this sacred tome open. They're aided and abetted by Roy Thomas, Dennis O'Neil, Bill Everett, Marie Severin and Dan Adkins. With a roll call like that this one's anything but cursed!<br>We've got the climactic battle with the dread Dormammu and the cataclysmic intervention of Eternity; in his first-ever appearance the Living Tribunal lays his judgment upon the Earth, and if that's not enough reality-threatening thrills for you, we pit him head-to-head with Nebulous, Lord of the Planets Perilous. It's guaranteed to rattle your astral fillings!<br>The origin of the Ancient One, the return of Baron Mordo, Strange's struggle against Kaluu while Clea's life hangs in the balance, and an otherworldly odyssey into deadly dimensions to save the lovely Victoria Bentley are the final incantations in this spell unlike any other ever uttered!<br>Collecting Strange Tales #142-168 and a gallery of Doctor Strange's cover appearances across the entire Strange Tales run!<br>304 PGS./All Ages ...$49.99<br>",
A.I.M,comics,"Marvel Masterworks: Doctor Strange Vol. (Hardcover)",,
A.I.M,comics,"Marvel Masterworks: Captain America Vol. (Hardcover)",,
A.I.M,comics,"Marvel Masterworks: The Invincible Iron Man Vol. (Hardcover)","Marvel's Man of Metal makes his triumphant return to the Masterworks! Yes, it's time to fess up and Face Front, True Believers: After a thirteen-year vacation, the iron-clad Avenger's back with his sophomore effort at long last. But it's guaranteed to be one harrowing homecoming!<br>This tome's classic tales pit Tony Stark against a virtual who's who of adversaries in the mighty Marvel manner that could only be brought to you by Stan Lee and the lavish pen of ""Dashing"" Don Heck! There's the return of Iron Man's arch-nemesis, the Mandarin, and said vile villain's origin, followed up by the first appearance of the long-loved Avenger, Hawkeye -- but he's not playing on the side of angels here. No, he's teamed-up with the Black Widow against ol' Iron Boots! And finally, Iron Man must test his mettle against no less than Captain America and his own Iron Man armor as the new Iron Man fights the old! It's a slam-bang barrage of Marvel classics with drama galore and a little '60s Russkie ""Red Scare"" that can't be beat. Reserve your copy today! Collecting TALES OF SUSPENSE #51-65.<br>240 PGS./ALL AGES ...$49.99<br>",
A.I.M,comics,"Avengers Vol. II: Red Zone (Trade Paperback)",,
A.I.M,comics,"Wolverine Vol. I: The Brothers (Trade Paperback)",,
A.I.M,comics,"Avengers Vol. 2: Red Zone (Trade Paperback)","Biohazard! In a post-9/11 world, the very word strikes fear in the heart of people around the globe! And now, a deadly chemical agent has been released over Mount Rushmore, rapidly spreading through the surrounding countryside! Is this a terrorist attack on American soil? That's what the Avengers seek to uncover as they brave the lethal perimeter of the Red Zone - but the truth they uncover is more startling and terrifying than even that!",
A.I.M,comics,"Marvel Masterworks: The Silver Surfer Vol. 2 (Hardcover)","In 1940, as America prepared for war, a frail young man volunteered for an experiment that transformed him into the premiere physical specimen - the American Super Soldier! Steve Rogers then battled the Nazis until a freak mishap placed him in suspended animation for decades. When he awakened, Rogers was truly a man out of time; though no less committed to fighting the evils of this perilous new era! The Silver-Age revival of America's greatest superhero is chronicled here, including the origin of Captain America and Bucky! The Assassins of Zemo! And the Red Skull strikes! Collects TALES OF SUSPENSE #59-81",
A.I.M,comics,"Avengers (1998) #67","The Avengers discover part of the Red Zone's horrible secret, but their own government bars the way to the rest! Meanwhile, a new horror strikes the She-Hulk - at the hands of one of the Avengers' own!",(1998)
A.I.M,comics,"Wolverine (2003) #1","The mysterious death of an innocent woman leaves behind many questions. Questions that Logan intends to answer, one way or the other.",(2003)
A.I.M,comics,"Marvel Masterworks: Captain America Vol. 1 - 2nd Edition (Hardcover)","In 1940, as America prepared for war, a frail young man volunteered for an experiment that transformed him into the premiere physical specimen - the American Super Soldier! Steve Rogers then battled the Nazis until a freak mishap placed him in suspended animation for decades. When he awakened, Rogers was truly a man out of time; though no less committed to fighting the evils of this perilous new era! The Silver-Age revival of America's greatest superhero is chronicled here, including the origin of Captain America and Bucky! The Assassins of Zemo! And the Red Skull strikes! Collects TALES OF SUSPENSE #59-81",
A.I.M,comics,"Captain America (1998) #28",,(1998)
A.I.M,comics,"Wolverine Vol. II (Trade Paperback)","This volume collects the second story arc of the series which strips Wolverine down to his essentials and pits him against an array of unsavory underworld characters.  Society's dark underbelly is about to get gutted, courtesy of his razor-sharp claws.",
A.I.M,comics,"Uncanny X-Men (1963) #352",,(1963)
A.I.M,comics,"Iron Man (1968) #297",,(1968)
A.I.M,comics,"Iron Man (1968) #296",,(1968)
A.I.M,comics,"Iron Man (1968) #295",,(1968)
A.I.M,comics,"Defenders (1972) #57",,(1972)
A.I.M,comics,"Avengers (1963) #87",,(1963)
A.I.M,comics,"Captain America (1968) #133",,(1968)
A.I.M,comics,"Captain America (1968) #132",,(1968)
A.I.M,comics,"Tales of Suspense (1959) #99",,(1959)
A.I.M,comics,"Tales of Suspense (1959) #95",,(1959)
A.I.M,comics,"Tales of Suspense (1959) #94",,(1959)
